,日期,净值,沪深300收益
119,20150612,1.8866927281812838,1.5439689129217427
120,20150615,1.8542416132565658,1.5109924742183014
121,20150616,1.7949058816323555,1.4657464791178008
122,20150617,1.8227269227976572,1.4871647004518944
123,20150618,1.7587492078074594,1.4268885284282389
124,20150619,1.6456616337454397,1.3419511178701502
125,20150622,1.6456616337454397,1.3419511178701502
126,20150623,1.6905881963466904,1.3850826012782689
127,20150624,1.7367412541069553,1.4122962388455358
128,20150625,1.6775183773419082,1.362053882918458
129,20150626,1.5491882214752521,1.254883857552768
130,20150629,1.507824895961863,1.2130236394338807
131,20150630,1.6067382091369613,1.2944742732867307
132,20150701,1.5207777149481339,1.2308135976304133
133,20150702,1.4607069952076825,1.1888437557427316
134,20150703,1.37846919137749,1.1245745929262572
135,20150706,1.4263020723182889,1.1571665670656976
136,20150707,1.3922134527898817,1.1367540598850223
137,20150708,1.305478554681072,1.0600738542391668
138,20150709,1.4023450634384078,1.1279632638827592
139,20150710,1.4923756165111537,1.1884270233587182
140,20150713,1.551025978240042,1.2188877007514205
141,20150714,1.5272952807729694,1.1900455366948781
142,20150715,1.4564287797451037,1.1479699489647528
143,20150716,1.4823532120245666,1.1568246439325647
144,20150717,1.5529132249169362,1.2014324018110496
145,20150720,1.555553177399295,1.204070665078839
146,20150721,1.5642642751927311,1.2056315883147082
147,20150722,1.5655156866128852,1.2030717807061588
148,20150723,1.603401166228917,1.2301722927950156
149,20150724,1.5729365440705674,1.2086045687181572
150,20150727,1.4280690883616682,1.1051312779359015
151,20150728,1.4207859360110238,1.1029206283977073
152,20150729,1.48088518110429,1.1374418419571375
153,20150730,1.439124218997149,1.1041705940317557
154,20150731,1.4402755183723466,1.1045431932987118
155,20150803,1.4358106642653923,1.1081711091592858
156,20150804,1.4955403878988327,1.1425862585390347
157,20150805,1.4687702149554436,1.1190710919401352
158,20150806,1.4530543736554202,1.1089282308697408
159,20150807,1.488363594935247,1.1306600143830552
160,20150810,1.563525956479477,1.1820048589838386
161,20150811,1.554457505931896,1.1768838546587932
162,20150812,1.5379802563690177,1.1622568373774222
163,20150813,1.5678170733425767,1.1794287582966643
164,20150814,1.5682874184645794,1.1788722469255135
165,20150817,1.5814610327796819,1.1801259457871685
166,20150818,1.4636421858375956,1.1070646846797312
167,20150819,1.4917441158056777,1.124637913096828
168,20150820,1.4543013384989552,1.0885553711450446
169,20150821,1.3804228305032082,1.0388026468294336
170,20150824,1.253838056946064,0.9479313722794828
171,20150825,1.1577940617839957,0.8806153169408949
172,20150826,1.1531628855368596,0.8756276669787336
173,20150827,1.226504045057004,0.9277034428172266
174,20150828,1.2857441904332572,0.9672492623981502
175,20150831,1.2827869787952606,0.9742670357449308
176,20150901,1.263416895415452,0.9729782908473703
177,20150902,1.279209606608145,0.9740632709729977
178,20150903,1.279209606608145,0.9740632709729977
179,20150904,1.279209606608145,0.9740632709729977
180,20150907,1.2375073734327195,0.9406821967005793
181,20150908,1.2799538763414617,0.964857970947386
182,20150909,1.3078568708457057,0.9837504467573736
183,20150910,1.2887621605313584,0.9716697222218204
184,20150911,1.287344522154774,0.9686677441899837
185,20150914,1.2422874638793568,0.9495512747235892
186,20150915,1.18973870415726,0.9122479962841363
187,20150916,1.2617178957587742,0.9576881770996873
188,20150917,1.23307689952505,0.9367792664063054
189,20150918,1.2404753609222003,0.9409102998013287
190,20150921,1.2692543892955954,0.9573982876350583
191,20150922,1.283216187577847,0.9663068973550517
192,20150923,1.2530606071697676,0.9443119647050823
193,20150924,1.2655912132414653,0.9506704905721534
194,20150925,1.2347107876383736,0.9353186194003394
195,20150928,1.2463170690421743,0.9384444016779266
196,20150929,1.2221385179027562,0.9199524809323231
197,20150930,1.2333821922674617,0.9269249635720912
198,20151001,1.2333821922674617,0.9269249635720912
199,20151002,1.2333821922674617,0.9269249635720912
200,20151005,1.2333821922674617,0.9269249635720912
201,20151006,1.2333821922674617,0.9269249635720912
202,20151007,1.2333821922674617,0.9269249635720912
203,20151008,1.2787706569429043,0.95399361299742
204,20151009,1.3035788076875967,0.9666211540882459
205,20151012,1.3515505078105001,0.9977538124501695
206,20151013,1.3570918648925232,0.996986822285343
207,20151014,1.3386354155299849,0.985720143946311
208,20151015,1.3745108446661884,1.009075505251841
209,20151016,1.3933416432381154,1.0227496234215177
210,20151019,1.3937596457310868,1.0227834250482208
211,20151020,1.413272280771322,1.0353781774035546
212,20151021,1.356458735084315,1.0051511016638908
213,20151022,1.3837235556595096,1.0199912601958352
214,20151023,1.408077090239117,1.0335082065892915
215,20151026,1.4156807065264083,1.0387231493392333
216,20151027,1.4163885468796715,1.0397702762733128
217,20151028,1.388910609070206,1.0201029676265498
218,20151029,1.3973829637855342,1.0225300286069419
219,20151030,1.4000379914167267,1.0227535302876176
220,20151102,1.3779173911523424,1.0059347611240779
221,20151103,1.3732324720224245,1.0029048851743112
222,20151104,1.4451898535563996,1.050089698751684
223,20151105,1.4800189290271089,1.072498325112033
224,20151106,1.515835387109565,1.0977928811111706
225,20151109,1.5350864965258562,1.111389006657589
226,20151110,1.532169832182457,1.1093294226086001
